Station,min (2013),max (2013),avg (2013),min (2014),max (2014),avg (2014),min (2015),max (2015),avg (2015),min (2016),max (2016),avg (2016),min (2017),max (2017),avg (2017)
Anp Chour,NA,NA,NA,13.7,27.9,20.8,NA,NA,NA,NA,30,NA,NA,NA,NA
Baglung,NA,NA,NA,NA,NA,NA,15.4,26.9,21.1,NA,NA,NA,15.4,28.1,21.8
Bahrabise,NA,NA,NA,14.6,28.3,21.5,NA,NA,NA,15.3,28.5,21.9,NA,NA,NA
Baitadi,9.1,23.4,16.3,7.5,21.9,14.7,8.1,23.3,15.7,11.1,24.9,18,7.1,24.8,15.9
Bajura (Martadi),9.5,23.6,16.6,11.7,23.9,17.8,12.2,23.9,18.1,13,24.9,19,12.6,24.5,18.5
Bandipur,15.6,24.8,20.2,16,25.5,20.8,16,26.1,21.1,16.7,26.6,21.6,NA,NA,NA
Begnas,15.8,28.2,22,15.9,28.5,22.2,16.3,28.6,22.4,16,29.4,22.7,16.2,29.6,22.9
Beni Bazar,NA,NA,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA
Besishahar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhairahawa (Agric),18,30.8,24.4,18.6,30.6,24.6,19.4,31.3,25.4,19.3,31.7,25.5,19.4,31.7,25.5
Bhairahawa Airport,19.1,30.7,24.9,19,30.6,24.8,19.3,30.9,25.1,19.4,31.6,25.5,19.1,31.5,25.3
Bhaktapur,NA,NA,NA,11.2,25.5,18.3,12,26,19,12.3,26.6,19.5,12.2,26.9,19.5
Bharatpur,27.4,46,36.7,19.4,30.9,25.1,19.4,30.7,25.1,17.9,31.5,24.7,19.7,31.8,25.7
Bhimgithhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,27.5,20.8
Bhorletar,NA,NA,NA,NA,NA,NA,18.4,29.5,23.9,17.6,29.3,23.5,NA,NA,NA
Bijuwar Tar,15.7,28.5,22.1,NA,NA,NA,15.3,29.2,22.3,15.9,NA,NA,15.7,29.9,22.8
Biratnagar Airport,19.3,31,25.2,19.4,30.6,25,19.8,30.4,25.1,19.8,31,25.4,19.9,31,25.4
Birganj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,31.8,26.1
Buddhanilakantha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butwal,NA,NA,NA,19.6,30,24.8,19.5,30.3,24.9,18.9,31.7,25.3,19.3,31.7,25.5
Chainpur (East),12.4,25.3,18.8,13.6,25.5,19.5,13.5,25,19.2,13.9,25.5,19.7,15.4,25.8,20.6
Chainpur (West),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chainpur Bajhang Aws Climate,12.9,24.5,18.7,NA,NA,NA,NA,NA,NA,13.9,27.9,20.9,NA,NA,NA
Chandra Gadhi,19.5,31.9,25.7,19.1,32.3,25.7,19.4,32.2,25.8,NA,NA,NA,NA,NA,NA
Changu Narayan,13.2,24.2,18.7,13.1,24.1,18.6,13.1,24.3,18.7,13.6,24.5,19.1,NA,NA,NA
Chapkot,16.9,28.6,22.7,17.2,29.3,23.3,17.3,29.3,23.3,17.5,30.1,23.8,NA,NA,NA
Charikot,11,21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chatara,NA,NA,NA,NA,NA,NA,19.9,31.2,25.5,19.6,32.1,25.9,19,31.7,25.3
